ID,Node Statement,"ID, Node Statement"
c_BRgb,"The Berlin Blockade was a Soviet attempt to force the Western Allies out of Berlin by cutting off all rail, road, and canal access to the city's Western-controlled sectors, prompting the United States and its allies to launch the Berlin Airlift to supply the city with food and fuel until the blockade was lifted.","c_BRgb, The Berlin Blockade was a Soviet attempt to force the Western Allies out of Berlin by cutting off all rail, road, and canal access to the city's Western-controlled sectors, prompting the United States and its allies to launch the Berlin Airlift to supply the city with food and fuel until the blockade was lifted."
c_Cj2r,"The Nuclear Non-Proliferation Treaty was an international agreement aimed to prevent the spread of nuclear weapons to non-nuclear nations, though challenges remained in controlling proliferation.","c_Cj2r, The Nuclear Non-Proliferation Treaty was an international agreement aimed to prevent the spread of nuclear weapons to non-nuclear nations, though challenges remained in controlling proliferation."
c_LXw7,The Cuban Missile Crisis was a Cold War confrontation in 1962 when the U.S. and the Soviet Union nearly went to war over Soviet missiles in Cuba.,"c_LXw7, The Cuban Missile Crisis was a Cold War confrontation in 1962 when the U.S. and the Soviet Union nearly went to war over Soviet missiles in Cuba."
c_NaGn,The Cuban Missile Crisis was resolved when the Soviet Union agreed to remove missiles from Cuba in exchange for US promises not to invade Cuba and to secretly remove US missiles from Turkey.,"c_NaGn, The Cuban Missile Crisis was resolved when the Soviet Union agreed to remove missiles from Cuba in exchange for US promises not to invade Cuba and to secretly remove US missiles from Turkey."
c_C4w0,"The Chinese Communist Party, led by Mao Zedong, established the People's Republic of China after winning the Chinese Civil War.","c_C4w0, The Chinese Communist Party, led by Mao Zedong, established the People's Republic of China after winning the Chinese Civil War."
c_JmD8,"The People's Republic of China (PRC) is a sovereign communist state established in 1949 on the mainland of China, governed by the Chinese Communist Party (CCP) under a one-party system, with a centrally planned economy that later transitioned to a socialist market economy while maintaining strict political control.","c_JmD8, The People's Republic of China (PRC) is a sovereign communist state established in 1949 on the mainland of China, governed by the Chinese Communist Party (CCP) under a one-party system, with a centrally planned economy that later transitioned to a socialist market economy while maintaining strict political control."
c_0V9o,"The Great Leap Forward was a Chinese government program under Mao Zedong that aimed to rapidly industrialize and increase agricultural output by collectivizing peasant lands into state-controlled communes, but it resulted in famine and economic failure.","c_0V9o, The Great Leap Forward was a Chinese government program under Mao Zedong that aimed to rapidly industrialize and increase agricultural output by collectivizing peasant lands into state-controlled communes, but it resulted in famine and economic failure."
c_B5Xt,The Cultural Revolution was a Chinese campaign led by Mao Zedong to purge capitalist and traditional elements.,"c_B5Xt, The Cultural Revolution was a Chinese campaign led by Mao Zedong to purge capitalist and traditional elements."
c_JGW1,"Mao Zedong's Cultural Revolution in China mobilized militant youth groups called Red Guards to violently suppress intellectuals and traditional cultural elements, causing severe social upheaval in pursuit of communist ideological purity.","c_JGW1, Mao Zedong's Cultural Revolution in China mobilized militant youth groups called Red Guards to violently suppress intellectuals and traditional cultural elements, causing severe social upheaval in pursuit of communist ideological purity."
c_RbY5,"Vietnamese Communists gained support by promising land redistribution to peasants, leading to the establishment of a communist government in the north after independence.","c_RbY5, Vietnamese Communists gained support by promising land redistribution to peasants, leading to the establishment of a communist government in the north after independence."
c_PpG8,"Movements to redistribute land and resources developed in Asia, Africa, and Latin America after colonialism, sometimes adopting communism or socialism.","c_PpG8, Movements to redistribute land and resources developed in Asia, Africa, and Latin America after colonialism, sometimes adopting communism or socialism."
c_RHcI,"Mengistu Haile Mariam led Ethiopia toward socialism after 1974, receiving Soviet support but facing famine and rebellion.","c_RHcI, Mengistu Haile Mariam led Ethiopia toward socialism after 1974, receiving Soviet support but facing famine and rebellion."
c_HJ32,"The White Revolution was a series of reforms in Iran during the 1960s that included land redistribution, women's suffrage, social welfare programs, and village literacy initiatives, and was called ""White"" because it occurred without bloodshed.","c_HJ32, The White Revolution was a series of reforms in Iran during the 1960s that included land redistribution, women's suffrage, social welfare programs, and village literacy initiatives, and was called ""White"" because it occurred without bloodshed."
c_DJfr,The size of European settler populations often influenced whether decolonization occurred peacefully or through violent conflict.,"c_DJfr, The size of European settler populations often influenced whether decolonization occurred peacefully or through violent conflict."
c_iCYj,"The Indian National Congress, founded in 1885, became a powerful force for Indian independence under Mohandas Gandhi's leadership beginning in 1920, when he introduced nonviolent resistance and mass civil disobedience strategies to challenge British colonial rule.","c_iCYj, The Indian National Congress, founded in 1885, became a powerful force for Indian independence under Mohandas Gandhi's leadership beginning in 1920, when he introduced nonviolent resistance and mass civil disobedience strategies to challenge British colonial rule."
c_yyd5,"The Muslim League, established in 1906 to represent Muslim interests in British-controlled India, successfully advocated for the partition of the subcontinent into two separate nations, India and Pakistan, after Indian independence was achieved through negotiation in 1947.","c_yyd5, The Muslim League, established in 1906 to represent Muslim interests in British-controlled India, successfully advocated for the partition of the subcontinent into two separate nations, India and Pakistan, after Indian independence was achieved through negotiation in 1947."
c_nBLL,"Kwame Nkrumah led the Gold Coast to independence from Britain in 1957, renaming it Ghana, and promoted Pan-Africanism through the Organization of African Unity.","c_nBLL, Kwame Nkrumah led the Gold Coast to independence from Britain in 1957, renaming it Ghana, and promoted Pan-Africanism through the Organization of African Unity."
c_q9iL,"Algeria gained independence from France in 1962 following a violent struggle between the National Liberation Front and French forces, intensified by the presence of a substantial French settler population in the territory.","c_q9iL, Algeria gained independence from France in 1962 following a violent struggle between the National Liberation Front and French forces, intensified by the presence of a substantial French settler population in the territory."
c_o7Ft,"After leading the Viet Minh to victory against French colonial forces in 1954, Ho Chi Minh established communist control of North Vietnam and the Geneva Accords divided the country at the 17th parallel into communist North Vietnam and non-communist South Vietnam.","c_o7Ft, After leading the Viet Minh to victory against French colonial forces in 1954, Ho Chi Minh established communist control of North Vietnam and the Geneva Accords divided the country at the 17th parallel into communist North Vietnam and non-communist South Vietnam."
c_G43r,"The Geneva Accords were international agreements that temporarily divided Vietnam at the 17th parallel, intending future elections for reunification but effectively creating separate northern (communist) and southern (non-communist) zones.","c_G43r, The Geneva Accords were international agreements that temporarily divided Vietnam at the 17th parallel, intending future elections for reunification but effectively creating separate northern (communist) and southern (non-communist) zones."
c_D09v,"Between 1958 and 1959, French West African colonies gained independence through peaceful negotiations, marking the beginning of a period of economic and political challenges as these new nations established their governance systems.","c_D09v, Between 1958 and 1959, French West African colonies gained independence through peaceful negotiations, marking the beginning of a period of economic and political challenges as these new nations established their governance systems."
c_wIC0,"Gamal Abdel Nasser, who led Egypt's 1952 revolution that established a republic, transformed the nation through socialist reforms and Pan-Arab policies, most notably by nationalizing the Suez Canal in 1956, which sparked an international crisis but ultimately strengthened Egyptian sovereignty.","c_wIC0, Gamal Abdel Nasser, who led Egypt's 1952 revolution that established a republic, transformed the nation through socialist reforms and Pan-Arab policies, most notably by nationalizing the Suez Canal in 1956, which sparked an international crisis but ultimately strengthened Egyptian sovereignty."
c_Pp5h,"Pan-Arabism is a nationalist ideology aiming to unite Arab peoples across the Middle East and North Africa based on shared language, history, and culture, promoted by leaders like Gamal Abdel Nasser of Egypt.","c_Pp5h, Pan-Arabism is a nationalist ideology aiming to unite Arab peoples across the Middle East and North Africa based on shared language, history, and culture, promoted by leaders like Gamal Abdel Nasser of Egypt."
c_1NJX,"Nigeria gained independence from Britain through peaceful negotiations in 1960, but ethnic tensions later erupted into the Biafran Civil War when the Igbo people attempted to secede from 1967 to 1970.","c_1NJX, Nigeria gained independence from Britain through peaceful negotiations in 1960, but ethnic tensions later erupted into the Biafran Civil War when the Igbo people attempted to secede from 1967 to 1970."
c_Bpl3,"The Biafran Civil War was a secession attempt by the Igbo-dominated southeastern region (Biafra) of Nigeria, leading to a brutal conflict before Biafra was reabsorbed into Nigeria.","c_Bpl3, The Biafran Civil War was a secession attempt by the Igbo-dominated southeastern region (Biafra) of Nigeria, leading to a brutal conflict before Biafra was reabsorbed into Nigeria."
c_B0iA,"The partition of British India in 1947 split the region into two separate nations, India and Pakistan, based on religious demographics, with India establishing a democratic government while Pakistan experienced alternating periods of democratic and military rule.","c_B0iA, The partition of British India in 1947 split the region into two separate nations, India and Pakistan, based on religious demographics, with India establishing a democratic government while Pakistan experienced alternating periods of democratic and military rule."
c_2ouc,"The partition of India and Pakistan triggered one of the largest forced migrations in history, resulting in approximately 500,000 deaths and creating lasting territorial tensions over Kashmir that continue to strain relations between the two nations.","c_2ouc, The partition of India and Pakistan triggered one of the largest forced migrations in history, resulting in approximately 500,000 deaths and creating lasting territorial tensions over Kashmir that continue to strain relations between the two nations."
c_omb5,"When the United Nations partitioned Palestine to create separate Jewish and Arab states, the establishment of Israel triggered the Arab-Israeli War, which ended in Israeli victory and led to the displacement of approximately 400,000 Palestinians from their homes.","c_omb5, When the United Nations partitioned Palestine to create separate Jewish and Arab states, the establishment of Israel triggered the Arab-Israeli War, which ended in Israeli victory and led to the displacement of approximately 400,000 Palestinians from their homes."
c_A0kf,"Newly independent states often implemented government-directed economies and nationalization policies to promote development, exemplified by leaders like Gamal Abdel Nasser in Egypt and Indira Gandhi in India.","c_A0kf, Newly independent states often implemented government-directed economies and nationalization policies to promote development, exemplified by leaders like Gamal Abdel Nasser in Egypt and Indira Gandhi in India."
c_eWB1,"Following colonial relationships established before independence, immigrants from Vietnam, Algeria, and West Africa settled in French cities while Filipino immigrants moved to the United States, creating lasting cultural and economic connections that transformed these former imperial nations into more diverse, multi-ethnic societies.","c_eWB1, Following colonial relationships established before independence, immigrants from Vietnam, Algeria, and West Africa settled in French cities while Filipino immigrants moved to the United States, creating lasting cultural and economic connections that transformed these former imperial nations into more diverse, multi-ethnic societies."
c_P2Nc,"The Khmer Rouge was a radical communist regime in Cambodia, led by Pol Pot from 1975 to 1979, that carried out mass executions, forced labor policies, and genocide, resulting in the deaths of over two million people.","c_P2Nc, The Khmer Rouge was a radical communist regime in Cambodia, led by Pol Pot from 1975 to 1979, that carried out mass executions, forced labor policies, and genocide, resulting in the deaths of over two million people."
c_hCMX,"During Cambodia's transition from French colonial rule to communist control, the country underwent devastating changes, culminating in the Khmer Rouge’s rise to power in 1975, which led to widespread execution, starvation, and persecution.","c_hCMX, During Cambodia's transition from French colonial rule to communist control, the country underwent devastating changes, culminating in the Khmer Rouge’s rise to power in 1975, which led to widespread execution, starvation, and persecution."
c_t1Qd,"Martin Luther King Jr. led the U.S. Civil Rights Movement from 1954 to 1968 using nonviolent protest and civil disobedience, including the Montgomery Bus Boycott and the March on Washington, to challenge racial segregation and discrimination.","c_t1Qd, Martin Luther King Jr. led the U.S. Civil Rights Movement from 1954 to 1968 using nonviolent protest and civil disobedience, including the Montgomery Bus Boycott and the March on Washington, to challenge racial segregation and discrimination."
c_KJX4,Apartheid was a system of institutionalized racial segregation and discrimination enforced by the South African government until its abolition in 1994.,"c_KJX4, Apartheid was a system of institutionalized racial segregation and discrimination enforced by the South African government until its abolition in 1994."
c_XLBe,"Nelson Mandela and the African National Congress (ANC) led the movement against apartheid in South Africa, advocating for racial equality and political change.","c_XLBe, Nelson Mandela and the African National Congress (ANC) led the movement against apartheid in South Africa, advocating for racial equality and political change."
c_Lp09,"The Sharpeville Massacre was an incident in South Africa where police opened fire on anti-apartheid protesters, killing and wounding many, pushing the African National Congress (ANC) toward armed resistance.","c_Lp09, The Sharpeville Massacre was an incident in South Africa where police opened fire on anti-apartheid protesters, killing and wounding many, pushing the African National Congress (ANC) toward armed resistance."
c_2TvS,"Augusto Pinochet led a U.S.-supported military coup in Chile in 1973, overthrowing Salvador Allende and establishing a dictatorship that violently suppressed political opposition.","c_2TvS, Augusto Pinochet led a U.S.-supported military coup in Chile in 1973, overthrowing Salvador Allende and establishing a dictatorship that violently suppressed political opposition."
c_ihy5,"Salvador Allende, a Chilean military dictator, was the democratically elected socialist president of Chile who was overthrown in a military coup led by General Augusto Pinochet, with U.S. support.","c_ihy5, Salvador Allende, a Chilean military dictator, was the democratically elected socialist president of Chile who was overthrown in a military coup led by General Augusto Pinochet, with U.S. support."
c_uYJO,"Idi Amin's military dictatorship in Uganda from 1971 to 1979 was characterized by ethnic violence, political oppression, and up to 500,000 deaths, including the expulsion of 60,000 Asians in 1972.","c_uYJO, Idi Amin's military dictatorship in Uganda from 1971 to 1979 was characterized by ethnic violence, political oppression, and up to 500,000 deaths, including the expulsion of 60,000 Asians in 1972."
c_GB89,"Peru's Shining Path, founded by Abimael Guzman, conducted a 20-year terrorist campaign based on Maoist ideology, causing approximately 37,000 deaths.","c_GB89, Peru's Shining Path, founded by Abimael Guzman, conducted a 20-year terrorist campaign based on Maoist ideology, causing approximately 37,000 deaths."
c_MA4t,"Maoist Ideology is a form of communism based on Mao Zedong’s doctrines, emphasizing a peasant-led revolution and rural guerrilla warfare, later influencing groups like Peru’s Shining Path.","c_MA4t, Maoist Ideology is a form of communism based on Mao Zedong’s doctrines, emphasizing a peasant-led revolution and rural guerrilla warfare, later influencing groups like Peru’s Shining Path."
c_Kiqf,"Al-Qaeda’s rise was caused by opposition to U.S. military presence in the Middle East, Western intervention, and radical Islamist ideology, culminating in the September 11, 2001 attacks.","c_Kiqf, Al-Qaeda’s rise was caused by opposition to U.S. military presence in the Middle East, Western intervention, and radical Islamist ideology, culminating in the September 11, 2001 attacks."
c_TCeo,"During the Cold War from 1947 to 1991, the close collaboration between weapons manufacturers and military establishments, known as the military-industrial complex, fueled an accelerated arms race and nuclear stockpiling between the United States and Soviet Union.","c_TCeo, During the Cold War from 1947 to 1991, the close collaboration between weapons manufacturers and military establishments, known as the military-industrial complex, fueled an accelerated arms race and nuclear stockpiling between the United States and Soviet Union."
c_JB6H,"Mikhail Gorbachev's 1985 introduction of perestroika and glasnost policies, which aimed to restructure the Soviet economy and increase freedom of expression, ultimately failed to revive the nation and contributed to the Soviet Union's dissolution.","c_JB6H, Mikhail Gorbachev's 1985 introduction of perestroika and glasnost policies, which aimed to restructure the Soviet economy and increase freedom of expression, ultimately failed to revive the nation and contributed to the Soviet Union's dissolution."
c_JD85,Perestroika was a Soviet policy introduced by Mikhail Gorbachev in the 1980s to restructure the economy and reduce state control.,"c_JD85, Perestroika was a Soviet policy introduced by Mikhail Gorbachev in the 1980s to restructure the economy and reduce state control."
c_NKp2,"Glasnost was a Soviet policy under Mikhail Gorbachev promoting political openness, transparency, and limited free speech.","c_NKp2, Glasnost was a Soviet policy under Mikhail Gorbachev promoting political openness, transparency, and limited free speech."
c_49WO,"The Soviet Union's invasion of Afghanistan from 1979 to 1989 resulted in a costly war that strained the Soviet economy and military, contributing to internal pressures for reform and eventual collapse.","c_49WO, The Soviet Union's invasion of Afghanistan from 1979 to 1989 resulted in a costly war that strained the Soviet economy and military, contributing to internal pressures for reform and eventual collapse."
c_eEbN,"The fall of the Berlin Wall in 1989 led directly to German reunification in 1990, marking the symbolic end of communist control in Eastern Europe and serving as a crucial turning point in ending the Cold War.","c_eEbN, The fall of the Berlin Wall in 1989 led directly to German reunification in 1990, marking the symbolic end of communist control in Eastern Europe and serving as a crucial turning point in ending the Cold War."
c_YT5p,"The Soviet economy faced crises by the 1970s due to limited foreign trade and centralized control of agriculture, contributing to economic weakness prior to the Cold War's end.","c_YT5p, The Soviet economy faced crises by the 1970s due to limited foreign trade and centralized control of agriculture, contributing to economic weakness prior to the Cold War's end."
c_hSDF,"The dissolution of the Soviet Union in 1991 marked the end of the Cold War, resulting in the independence of multiple nations including Russia, Ukraine, Belarus, and Georgia, while triggering widespread economic challenges and regional ethnic conflicts as former Soviet territories transitioned to new political and economic systems.","c_hSDF, The dissolution of the Soviet Union in 1991 marked the end of the Cold War, resulting in the independence of multiple nations including Russia, Ukraine, Belarus, and Georgia, while triggering widespread economic challenges and regional ethnic conflicts as former Soviet territories transitioned to new political and economic systems."
KC-6.2.II,"Hopes for greater self-government were largely unfulfilled following World War I; however, in the years following World War II, increasing anti-imperialist sentiment contributed to the dissolution of empires and the restructuring of states.","KC-6.2.II, Hopes for greater self-government were largely unfulfilled following World War I; however, in the years following World War II, increasing anti-imperialist sentiment contributed to the dissolution of empires and the restructuring of states."
KC-6.2.IV.C.i,Technological and economic gains experienced during World War II by the victorious nations shifted the global balance of power.,"KC-6.2.IV.C.i, Technological and economic gains experienced during World War II by the victorious nations shifted the global balance of power."
KC-6.2.IV.C.ii,"The global balance of economic and political power shifted during and after World War II and rapidly evolved into the Cold War. The democracy of the United States and the authoritarian communist Soviet Union emerged as superpowers, which led to ideological conflict and a power struggle between capitalism and communism across the globe.","KC-6.2.IV.C.ii, The global balance of economic and political power shifted during and after World War II and rapidly evolved into the Cold War. The democracy of the United States and the authoritarian communist Soviet Union emerged as superpowers, which led to ideological conflict and a power struggle between capitalism and communism across the globe."
KC-6.2.V.B,"Groups and individuals, including the Non-Aligned Movement, opposed and promoted alternatives to the existing economic, political, and social orders.","KC-6.2.V.B, Groups and individuals, including the Non-Aligned Movement, opposed and promoted alternatives to the existing economic, political, and social orders."
KC-6.2.IV.D,"The Cold War produced new military alliances, including NATO and the Warsaw Pact, and led to nuclear proliferation and proxy wars between and within postcolonial states in Latin America, Africa, and Asia.","KC-6.2.IV.D, The Cold War produced new military alliances, including NATO and the Warsaw Pact, and led to nuclear proliferation and proxy wars between and within postcolonial states in Latin America, Africa, and Asia."
KC-6.2.I.i,"As a result of internal tension and Japanese aggression, Chinese communists seized power. These changes in China eventually led to communist revolution.","KC-6.2.I.i, As a result of internal tension and Japanese aggression, Chinese communists seized power. These changes in China eventually led to communist revolution."
KC-6.3.I.A.ii,"In communist China, the government controlled the national economy through the Great Leap Forward, often implementing repressive policies, with negative repercussions for the population.","KC-6.3.I.A.ii, In communist China, the government controlled the national economy through the Great Leap Forward, often implementing repressive policies, with negative repercussions for the population."
KC-6.2.II.D.i,"Movements to redistribute land and resources developed within states in Africa, Asia, and Latin America, sometimes advocating communism or socialism.","KC-6.2.II.D.i, Movements to redistribute land and resources developed within states in Africa, Asia, and Latin America, sometimes advocating communism or socialism."
KC-6.2.II.A,Nationalist leaders and parties in Asia and Africa sought varying degrees of autonomy within or independence from imperial rule.,"KC-6.2.II.A, Nationalist leaders and parties in Asia and Africa sought varying degrees of autonomy within or independence from imperial rule."
KC-6.2.I.C,"After the end of World War II, some colonies negotiated their independence, while others achieved independence through armed struggle.","KC-6.2.I.C, After the end of World War II, some colonies negotiated their independence, while others achieved independence through armed struggle."
KC-6.2.II.B,"Regional, religious, and ethnic movements challenged colonial rule and inherited imperial boundaries. Some of these movements advocated for autonomy.","KC-6.2.II.B, Regional, religious, and ethnic movements challenged colonial rule and inherited imperial boundaries. Some of these movements advocated for autonomy."
KC-6.2.III.A.i,The redrawing of political boundaries after the withdrawal of former colonial authorities led to the creation of new states.,"KC-6.2.III.A.i, The redrawing of political boundaries after the withdrawal of former colonial authorities led to the creation of new states."
KC-6.2.III.A.ii,"The redrawing of political boundaries in some cases led to conflict as well as population displacement and/or resettlements, including those related to the Partition of India and the creation of the state of Israel.","KC-6.2.III.A.ii, The redrawing of political boundaries in some cases led to conflict as well as population displacement and/or resettlements, including those related to the Partition of India and the creation of the state of Israel."
KC-6.3.I.C,"In newly independent states after World War II, governments often took on a strong role in guiding economic life to promote development.","KC-6.3.I.C, In newly independent states after World War II, governments often took on a strong role in guiding economic life to promote development."
KC-6.2.III.B,"The migration of former colonial subjects to imperial metropoles (the former colonizing country), usually in the major cities, maintained cultural and economic ties between the colony and the metropole even after the dissolution of empires.","KC-6.2.III.B, The migration of former colonial subjects to imperial metropoles (the former colonizing country), usually in the major cities, maintained cultural and economic ties between the colony and the metropole even after the dissolution of empires."
KC-6.2.V,"Although conflict dominated much of the 20th century, many individuals and groups- including states-opposed this trend. Some individuals and groups, however, intensified the conflicts.","KC-6.2.V, Although conflict dominated much of the 20th century, many individuals and groups- including states-opposed this trend. Some individuals and groups, however, intensified the conflicts."
KC-6.2.V.A,"Groups and individuals challenged the many wars of the century, and some, such as Mohandas Gandhi, Martin Luther King Jr., and Nelson Mandela, promoted the practice of nonviolence as a way to bring about political change.","KC-6.2.V.A, Groups and individuals challenged the many wars of the century, and some, such as Mohandas Gandhi, Martin Luther King Jr., and Nelson Mandela, promoted the practice of nonviolence as a way to bring about political change."
KC-6.2.V.C,Militaries and militarized states often responded to the proliferation of conflicts in ways that further intensified conflict.,"KC-6.2.V.C, Militaries and militarized states often responded to the proliferation of conflicts in ways that further intensified conflict."
KC-6.2.V.D,Some movements used violence against civilians in an effort to achieve political aims.,"KC-6.2.V.D, Some movements used violence against civilians in an effort to achieve political aims."
KC-6.2.IV.E,"Advances in U.S. military and technological development, the Soviet Union's costly and ultimately failed invasion of Afghanistan, and public discontent and economic weakness in communist countries led to the end of the Cold War and the collapse of the Soviet Union.","KC-6.2.IV.E, Advances in U.S. military and technological development, the Soviet Union's costly and ultimately failed invasion of Afghanistan, and public discontent and economic weakness in communist countries led to the end of the Cold War and the collapse of the Soviet Union."
IU_z0Qe,"World War II resulted in severe economic and infrastructural damage to European powers, particularly Britain and France, necessitating extensive post-war reconstruction efforts and financial recovery measures.","IU_z0Qe, World War II resulted in severe economic and infrastructural damage to European powers, particularly Britain and France, necessitating extensive post-war reconstruction efforts and financial recovery measures."
IU_dX96,"Westernization extended beyond Europe and the U.S., influencing Japan, South Korea, Russia, and India.","IU_dX96, Westernization extended beyond Europe and the U.S., influencing Japan, South Korea, Russia, and India."
IU_jVlJ,"Japan’s invasion of China forced the temporary suspension of the Chinese Civil War, as Communists and Nationalists united against the foreign threat.","IU_jVlJ, Japan’s invasion of China forced the temporary suspension of the Chinese Civil War, as Communists and Nationalists united against the foreign threat."
IU_yaRr,"Japan’s defeat in World War II allowed the Chinese Civil War to resume, culminating in a Communist victory over the Nationalists.","IU_yaRr, Japan’s defeat in World War II allowed the Chinese Civil War to resume, culminating in a Communist victory over the Nationalists."
