ID,Node Statement,"ID, Node Statement"
RP_jL5s,"Pre-1200, gender hierarchies restricted women’s rights in many societies, a pattern that continued in subsequent historical periods.","RP_jL5s, Pre-1200, gender hierarchies restricted women’s rights in many societies, a pattern that continued in subsequent historical periods."
a_G5r9,"The expansion of major Islamic empires—such as the Umayyad, Abbasid, and Ottoman—created conditions that facilitated the widespread adoption of Islam across diverse regions.","a_G5r9, The expansion of major Islamic empires—such as the Umayyad, Abbasid, and Ottoman—created conditions that facilitated the widespread adoption of Islam across diverse regions."
a_t6Lb,"Dar al-Islam's vibrant intellectual and cultural environment, fueled by an emphasis on education and cultural exchange, spurred significant advancements in literature, mathematics, and medicine.","a_t6Lb, Dar al-Islam's vibrant intellectual and cultural environment, fueled by an emphasis on education and cultural exchange, spurred significant advancements in literature, mathematics, and medicine."
a_1qJ8,"The political stability and economic strength of Islamic states enabled the development of extensive trade networks, making the region a major global hub for commerce.","a_1qJ8, The political stability and economic strength of Islamic states enabled the development of extensive trade networks, making the region a major global hub for commerce."
a_pl2W,"The Mongols created the largest land-based empire in history, while Turkish groups like the Seljuks and Ottomans built separate regional empires.","a_pl2W, The Mongols created the largest land-based empire in history, while Turkish groups like the Seljuks and Ottomans built separate regional empires."
a_plp2,"While many states centralized between 1200 and 1450, the role of nomadic groups declined as settled states and trade networks expanded.","a_plp2, While many states centralized between 1200 and 1450, the role of nomadic groups declined as settled states and trade networks expanded."
a_plm2,"The Mongol conquests increased trade and cross-cultural exchange, but unlike Islamic or Chinese civilizations, they did not create a lasting unified state.","a_plm2, The Mongol conquests increased trade and cross-cultural exchange, but unlike Islamic or Chinese civilizations, they did not create a lasting unified state."
a_p12F,"The spread of Islam through conquest in South Asia led to conversions, while in Africa and Southeast Asia, Islam spread primarily through trade and missionary activity.","a_p12F, The spread of Islam through conquest in South Asia led to conversions, while in Africa and Southeast Asia, Islam spread primarily through trade and missionary activity."
c_1,"The Song Dynasty’s civil service examination system established a merit-based bureaucracy, giving rise to the scholar-gentry class.","c_1, The Song Dynasty’s civil service examination system established a merit-based bureaucracy, giving rise to the scholar-gentry class."
c_24,"Bureaucracy is a system of government or organization in which decisions are made by appointed officials within a structured hierarchy, following established rules and procedures.","c_24, Bureaucracy is a system of government or organization in which decisions are made by appointed officials within a structured hierarchy, following established rules and procedures."
c_6,"The Mandate of Heaven was the foundational concept for imperial legitimacy in Chinese political theory, with emperors claiming divine approval and performing essential rituals to maintain political stability throughout all dynasties.","c_6, The Mandate of Heaven was the foundational concept for imperial legitimacy in Chinese political theory, with emperors claiming divine approval and performing essential rituals to maintain political stability throughout all dynasties."
c_19,"While initially strengthening the dynasty, the oversized bureaucracy of the Song eventually led to financial strain and contributed to its decline.","c_19, While initially strengthening the dynasty, the oversized bureaucracy of the Song eventually led to financial strain and contributed to its decline."
c_26,"Buddhism is a spiritual and philosophical tradition founded in ancient India, emphasizing the path to enlightenment through practices like meditation and ethical living.","c_26, Buddhism is a spiritual and philosophical tradition founded in ancient India, emphasizing the path to enlightenment through practices like meditation and ethical living."
c_27,"Daoism, also known as Taoism, is a Chinese philosophical and religious tradition that emphasizes living in harmony with the Dao (the Way), focusing on simplicity, spontaneity, and balance with nature.","c_27, Daoism, also known as Taoism, is a Chinese philosophical and religious tradition that emphasizes living in harmony with the Dao (the Way), focusing on simplicity, spontaneity, and balance with nature."
c_24,Confucianism provided an ethical framework that guided social conduct and government policy in imperial China.,"c_24, Confucianism provided an ethical framework that guided social conduct and government policy in imperial China."
c_2,"During the Song period, Neo-Confucianism emerged as a synthesis of Confucian, Buddhist, and Daoist ideas, reshaping civil service and governance.","c_2, During the Song period, Neo-Confucianism emerged as a synthesis of Confucian, Buddhist, and Daoist ideas, reshaping civil service and governance."
c_4,"Chinese cultural traditions, including Confucianism and art, spread to Korea, Japan, and Vietnam, influencing their societies while each retained a unique identity.","c_4, Chinese cultural traditions, including Confucianism and art, spread to Korea, Japan, and Vietnam, influencing their societies while each retained a unique identity."
c_5,"China’s tributary system required neighboring states to pay tribute, reinforcing Chinese political dominance and facilitating robust trade networks.","c_5, China’s tributary system required neighboring states to pay tribute, reinforcing Chinese political dominance and facilitating robust trade networks."
c_12,"Buddhism spread from India to China via the Silk Roads, becoming the most influential foreign religion during the Tang and Song dynasties, with Mahayana and Chan (Zen) Buddhism gaining widespread popularity and influencing Chinese culture.","c_12, Buddhism spread from India to China via the Silk Roads, becoming the most influential foreign religion during the Tang and Song dynasties, with Mahayana and Chan (Zen) Buddhism gaining widespread popularity and influencing Chinese culture."
c_14,"Foot binding became common among elite women during the Song Dynasty, symbolizing social status while restricting female mobility.","c_14, Foot binding became common among elite women during the Song Dynasty, symbolizing social status while restricting female mobility."
c_3,The Song Dynasty promoted Confucian values—such as filial piety—to maintain political stability and social order.,"c_3, The Song Dynasty promoted Confucian values—such as filial piety—to maintain political stability and social order."
c_pdsW,"Champa rice is a drought-resistant, fast-maturing rice variety introduced from Vietnam that greatly enhanced agricultural productivity in Song China.","c_pdsW, Champa rice is a drought-resistant, fast-maturing rice variety introduced from Vietnam that greatly enhanced agricultural productivity in Song China."
c_20,"Samurai in Japan followed the bushido code, emphasizing frugality, loyalty, martial arts, and honor unto death; failure to meet obligations could result in ritual suicide.","c_20, Samurai in Japan followed the bushido code, emphasizing frugality, loyalty, martial arts, and honor unto death; failure to meet obligations could result in ritual suicide."
c_21,"Korea, Japan, and Vietnam selectively adopted elements of Chinese culture while maintaining distinct cultural identities.","c_21, Korea, Japan, and Vietnam selectively adopted elements of Chinese culture while maintaining distinct cultural identities."
c_25,"Filial piety is a Confucian value emphasizing respect and devotion to one's parents and ancestors, considered a fundamental virtue in maintaining family harmony and social order.","c_25, Filial piety is a Confucian value emphasizing respect and devotion to one's parents and ancestors, considered a fundamental virtue in maintaining family harmony and social order."
c_7,"The introduction of Champa rice from Vietnam boosted agricultural productivity in the Song Dynasty, enabling multiple harvests and supporting population growth.","c_7, The introduction of Champa rice from Vietnam boosted agricultural productivity in the Song Dynasty, enabling multiple harvests and supporting population growth."
c_8,"Technological innovations during the Song Dynasty, including the magnetic compass and improved ship designs, enhanced maritime capabilities, enabling increased long-distance trade and cultural exchange.","c_8, Technological innovations during the Song Dynasty, including the magnetic compass and improved ship designs, enhanced maritime capabilities, enabling increased long-distance trade and cultural exchange."
c_9,"The Song Dynasty developed movable type printing, increasing literacy and spreading agricultural and technological knowledge, and implemented paper currency, facilitating trade and commerce within China and beyond.","c_9, The Song Dynasty developed movable type printing, increasing literacy and spreading agricultural and technological knowledge, and implemented paper currency, facilitating trade and commerce within China and beyond."
c_10,"Chinese innovations such as gunpowder and firearms, developed during the Song Dynasty, later spread westward through trade routes and Mongol expansion, significantly impacting global warfare.","c_10, Chinese innovations such as gunpowder and firearms, developed during the Song Dynasty, later spread westward through trade routes and Mongol expansion, significantly impacting global warfare."
c_11,"Technological and economic advancements during the Song Dynasty transformed China from a predominantly agrarian society into a commercially oriented, manufacturing-driven economy.Technological and economic advancements during the Song Dynasty transformed China from a predominantly agrarian society into a commercially oriented, manufacturing-driven economy.","c_11, Technological and economic advancements during the Song Dynasty transformed China from a predominantly agrarian society into a commercially oriented, manufacturing-driven economy.Technological and economic advancements during the Song Dynasty transformed China from a predominantly agrarian society into a commercially oriented, manufacturing-driven economy."
c_15,"The Grand Canal, expanded during the Song Dynasty, facilitated internal trade, linking northern and southern China, and contributed to China's economic prosperity and status as the world's largest trading region.","c_15, The Grand Canal, expanded during the Song Dynasty, facilitated internal trade, linking northern and southern China, and contributed to China's economic prosperity and status as the world's largest trading region."
c_17,"Proto-industrialization during the Song Dynasty saw increased production of goods like silk and porcelain by artisans in government-supervised workshops, boosting trade and the market economy.","c_17, Proto-industrialization during the Song Dynasty saw increased production of goods like silk and porcelain by artisans in government-supervised workshops, boosting trade and the market economy."
c_23,"Proto-industrialization refers to the phase of rural industrial development, characterized by the growth of small-scale, home-based production of goods for market sale","c_23, Proto-industrialization refers to the phase of rural industrial development, characterized by the growth of small-scale, home-based production of goods for market sale"
KC-3.2.I.A,"Empires and states in Afro-Eurasia and the Americas demonstrated continuity, innovation, and diversity in the 13th century. This included the Song Dynasty of China, which utilized traditional methods of Confucianism and an imperial bureaucracy to maintain and justify its rule.


","KC-3.2.I.A, Empires and states in Afro-Eurasia and the Americas demonstrated continuity, innovation, and diversity in the 13th century. This included the Song Dynasty of China, which utilized traditional methods of Confucianism and an imperial bureaucracy to maintain and justify its rule.


"
KC-3.1.III.D.i,"Chinese cultural traditions continued, and they influenced neighboring regions.

","KC-3.1.III.D.i, Chinese cultural traditions continued, and they influenced neighboring regions.

"
KC-3.1.III.D.ii,"Buddhism and its core beliefs continued to shape societies in Asia and included a variety of branches, schools, and practices.

","KC-3.1.III.D.ii, Buddhism and its core beliefs continued to shape societies in Asia and included a variety of branches, schools, and practices.

"
KC-3.3.III.A.i,"The economy of Song China became increasingly commercialized while continuing to depend on free peasant and artisanal labor.

","KC-3.3.III.A.i, The economy of Song China became increasingly commercialized while continuing to depend on free peasant and artisanal labor.

"
KC-3.1.I.D,"The economy of Song China flourished as a result of increased productive capacity, expanding trade networks, and innovations in agriculture and manufacturing.

","KC-3.1.I.D, The economy of Song China flourished as a result of increased productive capacity, expanding trade networks, and innovations in agriculture and manufacturing.

"
RP_K2rQ,"Confucianism and the civil service exam, central to governance in the Tang dynasty, remained foundational in Chinese administration beyond 1200, reinforcing bureaucratic continuity.","RP_K2rQ, Confucianism and the civil service exam, central to governance in the Tang dynasty, remained foundational in Chinese administration beyond 1200, reinforcing bureaucratic continuity."
RP_8x7B,"Before 1200, China’s tributary system had been established as a diplomatic and economic tool, a practice that persisted as a key method for engaging with neighboring states in subsequent eras.","RP_8x7B, Before 1200, China’s tributary system had been established as a diplomatic and economic tool, a practice that persisted as a key method for engaging with neighboring states in subsequent eras."
RP_3LpX,"The adoption of Chinese cultural, political, and administrative practices by neighboring states led tributary states to embrace Confucian governance and bureaucratic structures, strengthening their ties to the Chinese imperial system.","RP_3LpX, The adoption of Chinese cultural, political, and administrative practices by neighboring states led tributary states to embrace Confucian governance and bureaucratic structures, strengthening their ties to the Chinese imperial system."
RP_y9V2,"Pre-1200, Champa rice from Vietnam, steel production, and the Grand Canal expanded trade and economic networks, fostering increased regional connectivity in Asia.","RP_y9V2, Pre-1200, Champa rice from Vietnam, steel production, and the Grand Canal expanded trade and economic networks, fostering increased regional connectivity in Asia."
RP_Q7kU,"During the Song Dynasty, a renewed focus on personal moral development and the study of classical texts encouraged intellectual reform by shifting emphasis away from strict religious devotion.","RP_Q7kU, During the Song Dynasty, a renewed focus on personal moral development and the study of classical texts encouraged intellectual reform by shifting emphasis away from strict religious devotion."
a_mW8T,"Although Buddhism had been present in China before 1200, the emergence of Neo-Confucianism during the Song period introduced a new intellectual synthesis by blending Confucian, Daoist, and Buddhist traditions, marking a significant departure from earlier thought.","a_mW8T, Although Buddhism had been present in China before 1200, the emergence of Neo-Confucianism during the Song period introduced a new intellectual synthesis by blending Confucian, Daoist, and Buddhist traditions, marking a significant departure from earlier thought."
a_4kZf,"Between 1200 and 1450, China maintained political stability through its imperial bureaucracy while advancing economically with innovations such as Champa rice cultivation, expanded trade networks, and increased steel production.","a_4kZf, Between 1200 and 1450, China maintained political stability through its imperial bureaucracy while advancing economically with innovations such as Champa rice cultivation, expanded trade networks, and increased steel production."
a_cfv3,"While the Song Dynasty in China centralized power through bureaucracy, Japan became more decentralized and feudal.","a_cfv3, While the Song Dynasty in China centralized power through bureaucracy, Japan became more decentralized and feudal."
a_012Q,"Confucianism reinforced bureaucratic rule in China, while Islam provided a unifying force for state-building from West Africa to South Asia.","a_012Q, Confucianism reinforced bureaucratic rule in China, while Islam provided a unifying force for state-building from West Africa to South Asia."
a_p332,"Though all men could theoretically take the Song Dynasty’s civil service exam, it primarily benefited wealthy landowners, while women were entirely excluded.","a_p332, Though all men could theoretically take the Song Dynasty’s civil service exam, it primarily benefited wealthy landowners, while women were entirely excluded."
c_5uN2,"Feudalism involved mutual obligations between kings, lords, knights, and peasants, forming a decentralized social and political system.","c_5uN2, Feudalism involved mutual obligations between kings, lords, knights, and peasants, forming a decentralized social and political system."
a_S3cB,"Prior to 1200, Europe was characterized by feudal structures and limited engagement with classical antiquity, but the Crusades helped ignite the Renaissance, spurring a profound cultural and intellectual transformation.","a_S3cB, Prior to 1200, Europe was characterized by feudal structures and limited engagement with classical antiquity, but the Crusades helped ignite the Renaissance, spurring a profound cultural and intellectual transformation."
a_Z9nW,"The feudal system in medieval Europe was based on land ownership and reciprocal obligations between lords and vassals, reinforcing social hierarchy.","a_Z9nW, The feudal system in medieval Europe was based on land ownership and reciprocal obligations between lords and vassals, reinforcing social hierarchy."
a_9pJ7,"Increased trade stimulated the expansion of cities, population growth, and the rise of towns and markets, transforming medieval European economies.","a_9pJ7, Increased trade stimulated the expansion of cities, population growth, and the rise of towns and markets, transforming medieval European economies."
a_b7kU,The invention of the movable-type printing press revolutionized literacy and education by enabling the rapid spread of ideas across Europe.,"a_b7kU, The invention of the movable-type printing press revolutionized literacy and education by enabling the rapid spread of ideas across Europe."
c_EvLo,"The manorial system, a self-sufficient economic model, limited trade by isolating rural communities and reinforcing feudal boundaries.","c_EvLo, The manorial system, a self-sufficient economic model, limited trade by isolating rural communities and reinforcing feudal boundaries."
c_NOOt,"The Great Schism of 1054 divided Christianity into the Roman Catholic and Eastern Orthodox branches, shaping distinct regional religious identities.","c_NOOt, The Great Schism of 1054 divided Christianity into the Roman Catholic and Eastern Orthodox branches, shaping distinct regional religious identities."
a_8qTm,"As monarchs employed their own bureaucracies and militaries, they weakened the power of feudal lords, exemplified by King Philip II of France, who developed the first centralized bureaucracy.","a_8qTm, As monarchs employed their own bureaucracies and militaries, they weakened the power of feudal lords, exemplified by King Philip II of France, who developed the first centralized bureaucracy."
a_C6wZ,"The prolonged conflict between England and France fostered a sense of national unity among soldiers, despite linguistic and regional differences, as they fought under a monarch.","a_C6wZ, The prolonged conflict between England and France fostered a sense of national unity among soldiers, despite linguistic and regional differences, as they fought under a monarch."
a_0pJ7,"The accumulation of wealth and political influence led to widespread corruption in the Church during the 13th and 14th centuries, sparking calls for reform.","a_0pJ7, The accumulation of wealth and political influence led to widespread corruption in the Church during the 13th and 14th centuries, sparking calls for reform."
c_o5Dq,The Crusades were a series of military campaigns in the Middle East driven by religious fervor and political motives.,"c_o5Dq, The Crusades were a series of military campaigns in the Middle East driven by religious fervor and political motives."
a_Y2cW,"Rising anti-Semitic sentiment led to the expulsion of Jewish communities from England, France, Spain, and Portugal, disrupting their economic and social contributions.","a_Y2cW, Rising anti-Semitic sentiment led to the expulsion of Jewish communities from England, France, Spain, and Portugal, disrupting their economic and social contributions."
a_e4V8,"Discrimination and the Reconquista resulted in the forced removal of Muslim communities from Spain, consolidating Christian rule.","a_e4V8, Discrimination and the Reconquista resulted in the forced removal of Muslim communities from Spain, consolidating Christian rule."
a_Q79U,The expansion of cities and markets contributed to a decline in women’s rights as patriarchal ideas became more entrenched in legal and social structures.,"a_Q79U, The expansion of cities and markets contributed to a decline in women’s rights as patriarchal ideas became more entrenched in legal and social structures."
a_hun7,"The rise of humanism shifted focus from religious devotion to individual achievement, promoting education and intellectual reform.","a_hun7, The rise of humanism shifted focus from religious devotion to individual achievement, promoting education and intellectual reform."
a_o4Q9,"The Catholic Church played a pivotal role in intellectual life by establishing the first universities in Europe, shaping medieval education.","a_o4Q9, The Catholic Church played a pivotal role in intellectual life by establishing the first universities in Europe, shaping medieval education."
c_SEVz,"Following the fall of the Roman Empire, the Roman Catholic Church maintained significant power and influence in Western Europe by dominating religious life and exerting control over both lords and serfs.","c_SEVz, Following the fall of the Roman Empire, the Roman Catholic Church maintained significant power and influence in Western Europe by dominating religious life and exerting control over both lords and serfs."
c_6dl0,The three-field crop rotation was an agricultural innovation in medieval Europe that divided farmland into three parts to improve soil fertility and yield.,"c_6dl0, The three-field crop rotation was an agricultural innovation in medieval Europe that divided farmland into three parts to improve soil fertility and yield."
c_0K7A,"Innovations like improved plow designs and the three-field crop rotation boosted agricultural productivity, spurring population growth and urban development.","c_0K7A, Innovations like improved plow designs and the three-field crop rotation boosted agricultural productivity, spurring population growth and urban development."
c_JARz,"The agricultural surplus of the late Middle Ages facilitated the growth of towns and regular market systems, leading to increased long-distance trade and the emergence of the middle class of merchants, craftspeople, and small landholders.","c_JARz, The agricultural surplus of the late Middle Ages facilitated the growth of towns and regular market systems, leading to increased long-distance trade and the emergence of the middle class of merchants, craftspeople, and small landholders."
c_gJ2U,"The Hundred Years' War was a conflict between England and France over territorial claims and succession to the French throne, leading to military innovations and the rise of national identities.","c_gJ2U, The Hundred Years' War was a conflict between England and France over territorial claims and succession to the French throne, leading to military innovations and the rise of national identities."
c_8uJ7,"As a result of the Hundred Years' War, England lost most of its territories in France except Calais, and the conflict fostered the development of national identities as people united under their monarchs, speaking common languages.","c_8uJ7, As a result of the Hundred Years' War, England lost most of its territories in France except Calais, and the conflict fostered the development of national identities as people united under their monarchs, speaking common languages."
c_TpO0,"In the later Middle Ages, European monarchs began consolidating power by establishing direct bureaucracies that reduced feudal lords’ influence, laying the foundation for modern nation-states.","c_TpO0, In the later Middle Ages, European monarchs began consolidating power by establishing direct bureaucracies that reduced feudal lords’ influence, laying the foundation for modern nation-states."
c_4xmH,"Beyond conflict, the Crusades facilitated significant cultural exchanges between Europe and the Middle East, introducing new goods and ideas.","c_4xmH, Beyond conflict, the Crusades facilitated significant cultural exchanges between Europe and the Middle East, introducing new goods and ideas."
c_cV9j,"In medieval Europe, women found opportunities within the Catholic Church as nuns, participating in religious life and sometimes holding positions of influence and leadership within monastic communities—roles often unavailable to them in secular society.","c_cV9j, In medieval Europe, women found opportunities within the Catholic Church as nuns, participating in religious life and sometimes holding positions of influence and leadership within monastic communities—roles often unavailable to them in secular society."
c_rmTW,"Religious persecution, including widespread antisemitism, led to the systematic expulsion of Jews from Western European nations between 1290 and 1497, causing significant demographic changes through forced migration.","c_rmTW, Religious persecution, including widespread antisemitism, led to the systematic expulsion of Jews from Western European nations between 1290 and 1497, causing significant demographic changes through forced migration."
KC-3.1.III.D.v,"Christianity, Judaism, Islam, and the core beliefs and practices of these religions continued to shape societies in Europe.

","KC-3.1.III.D.v, Christianity, Judaism, Islam, and the core beliefs and practices of these religions continued to shape societies in Europe.

"
KC-3.3.III.C,"Europe was largely an agricultural society dependent on free and coerced labor, including serfdom.","KC-3.3.III.C, Europe was largely an agricultural society dependent on free and coerced labor, including serfdom."
KC-3.2.I.B.ii,"Europe was politically fragmented and characterized by decentralized monarchies, feudalism, and the manorial system.

","KC-3.2.I.B.ii, Europe was politically fragmented and characterized by decentralized monarchies, feudalism, and the manorial system.

"
a_0o9O,The Roman Catholic Church sometimes supported European state-building but at other times acted as a rival power to emerging centralized states.,"a_0o9O, The Roman Catholic Church sometimes supported European state-building but at other times acted as a rival power to emerging centralized states."
a_plpp,"European states developed slowly due to feudalism and serfdom, while states in Asia and the Middle East advanced more quickly through trade and bureaucracy.","a_plpp, European states developed slowly due to feudalism and serfdom, while states in Asia and the Middle East advanced more quickly through trade and bureaucracy."
c_QzET,Hinduism provided cultural unity throughout South Asia despite political fragmentation.,"c_QzET, Hinduism provided cultural unity throughout South Asia despite political fragmentation."
c_ZEb0,The Vijayanagara Empire was established in 1336 by Hindu founders who had previously converted to Islam while serving the Delhi Sultanate.,"c_ZEb0, The Vijayanagara Empire was established in 1336 by Hindu founders who had previously converted to Islam while serving the Delhi Sultanate."
c_b1k0,The Bhakti Movement in southern India promoted personal devotion to deities and challenged established caste hierarchies by welcoming people of all social statuses.,"c_b1k0, The Bhakti Movement in southern India promoted personal devotion to deities and challenged established caste hierarchies by welcoming people of all social statuses."
c_PVTV,"Both the Bhakti Movement in Hinduism and Sufism in Islam emphasized personal devotion and mystical experiences, fostering religious syncretism.","c_PVTV, Both the Bhakti Movement in Hinduism and Sufism in Islam emphasized personal devotion and mystical experiences, fostering religious syncretism."
c_YbPk,"The Srivijaya Empire controlled maritime trade routes from Sumatra between the 7th and 11th centuries, gaining wealth and power by charging fees to ships traveling between India and China through the Strait of Malacca.","c_YbPk, The Srivijaya Empire controlled maritime trade routes from Sumatra between the 7th and 11th centuries, gaining wealth and power by charging fees to ships traveling between India and China through the Strait of Malacca."
c_nyQW,"Over the subsequent centuries, the influence of Islamic culture and administration in northern India grew, making Islam the second most prominent belief system","c_nyQW, Over the subsequent centuries, the influence of Islamic culture and administration in northern India grew, making Islam the second most prominent belief system"
c_gLFF,"Medieval South Asia maintained a diverse religious landscape with Hinduism, Islam, and Buddhism coexisting across different regions, leading to significant developments in religious thought, politics, economics, art, and architecture.","c_gLFF, Medieval South Asia maintained a diverse religious landscape with Hinduism, Islam, and Buddhism coexisting across different regions, leading to significant developments in religious thought, politics, economics, art, and architecture."
c_M3JQ,"The Rajput kingdoms in northern India remained politically fragmented due to constant warfare between competing clans, making them vulnerable to Muslim invasions.","c_M3JQ, The Rajput kingdoms in northern India remained politically fragmented due to constant warfare between competing clans, making them vulnerable to Muslim invasions."
