Node ID,Node Statement,"Node ID, Node Statement"
c_QVBO,"European imperialism sparked nationalist resistance movements across South America, Africa, and Asia during the nineteenth and twentieth centuries.","c_QVBO, European imperialism sparked nationalist resistance movements across South America, Africa, and Asia during the nineteenth and twentieth centuries."
c_NzBs,"The Zulu Kingdom fought the British in the Anglo-Zulu War of the 1870s, initially succeeding before ultimate defeat and incorporation into British South Africa.","c_NzBs, The Zulu Kingdom fought the British in the Anglo-Zulu War of the 1870s, initially succeeding before ultimate defeat and incorporation into British South Africa."
c_DomV,"The Sepoy Mutiny, also known as the Indian Rebellion of 1857, ended in failure but led to significant changes in the British administration of India, including direct governance under the British Crown.","c_DomV, The Sepoy Mutiny, also known as the Indian Rebellion of 1857, ended in failure but led to significant changes in the British administration of India, including direct governance under the British Crown."
c_X4MN,"Usman dan Fodio established the Sokoto Caliphate as a Muslim state in West Africa, creating the largest African empire of the 19th century before its conquest by British forces.","c_X4MN, Usman dan Fodio established the Sokoto Caliphate as a Muslim state in West Africa, creating the largest African empire of the 19th century before its conquest by British forces."
c_8vL6,"The Cherokee Nation emerged as a constitutional republic in the early 1800s, adopted Western practices for farming and building, and created a written language before being forcibly relocated through the Indian Removal Act of 1830.","c_8vL6, The Cherokee Nation emerged as a constitutional republic in the early 1800s, adopted Western practices for farming and building, and created a written language before being forcibly relocated through the Indian Removal Act of 1830."
c_WjPy,"The rebellion spread throughout northern India, resulting in thousands of deaths before being suppressed by British forces; afterward, the British government dissolved the East India Company and established direct rule over India as the British Raj.","c_WjPy, The rebellion spread throughout northern India, resulting in thousands of deaths before being suppressed by British forces; afterward, the British government dissolved the East India Company and established direct rule over India as the British Raj."
c_selx,"Yaa Asantewaa, the queen mother of the Asante Empire, led the final Asante resistance against British colonialism in 1900 when the British demanded the Golden Stool, a sacred symbol of Asante national unity.","c_selx, Yaa Asantewaa, the queen mother of the Asante Empire, led the final Asante resistance against British colonialism in 1900 when the British demanded the Golden Stool, a sacred symbol of Asante national unity."
c_SDde,"The Ghost Dance movement emerged among the Northern Paiute Indians as a spiritual resistance predicting the return of ancestors and the removal of white settlers, culminating in the Wounded Knee Massacre, which marked the end of both the movement and the Indian Wars.","c_SDde, The Ghost Dance movement emerged among the Northern Paiute Indians as a spiritual resistance predicting the return of ancestors and the removal of white settlers, culminating in the Wounded Knee Massacre, which marked the end of both the movement and the Indian Wars."
c_R9nh,"Túpac Amaru II, a descendant of the last Inca ruler, led a major indigenous revolt against Spanish rule in Peru, which spread to Bolivia and Argentina before being suppressed.","c_R9nh, Túpac Amaru II, a descendant of the last Inca ruler, led a major indigenous revolt against Spanish rule in Peru, which spread to Bolivia and Argentina before being suppressed."
c_Co4I,"The Xhosa Cattle-Killing Movement was a prophetic movement where the Xhosa people slaughtered their cattle in the belief that it would bring about the resurrection of ancestors and expel British settlers; instead, it led to famine and facilitated British conquest of Xhosa lands.","c_Co4I, The Xhosa Cattle-Killing Movement was a prophetic movement where the Xhosa people slaughtered their cattle in the belief that it would bring about the resurrection of ancestors and expel British settlers; instead, it led to famine and facilitated British conquest of Xhosa lands."
c_tdld,"Muhammad Ahmad declared himself the Mahdi in Sudan, leading a religious and political movement that successfully fought against Egyptian and British control until his death; internal rivalries then weakened the Mahdist state until British defeat.","c_tdld, Muhammad Ahmad declared himself the Mahdi in Sudan, leading a religious and political movement that successfully fought against Egyptian and British control until his death; internal rivalries then weakened the Mahdist state until British defeat."
c_KOXn,"José Rizal was a Filipino nationalist and writer who founded the Liga Filipina to promote peaceful reform, but his execution by Spanish authorities in 1896 helped ignite the Philippine Revolution, the first nationalist rebellion against Spanish rule.","c_KOXn, José Rizal was a Filipino nationalist and writer who founded the Liga Filipina to promote peaceful reform, but his execution by Spanish authorities in 1896 helped ignite the Philippine Revolution, the first nationalist rebellion against Spanish rule."
c_mNvQ,"Anti-imperial resistance movements often resulted in the formation of new independent states, as seen with the independence of Serbia and Greece after prolonged wars against Ottoman rule.","c_mNvQ, Anti-imperial resistance movements often resulted in the formation of new independent states, as seen with the independence of Serbia and Greece after prolonged wars against Ottoman rule."
c_2CpH,"The Taiping Rebellion, led by Hong Xiuquan who claimed to be Jesus's brother, was a massive civil war in China against the Qing Dynasty, nearly overthrowing Manchu rule and resulting in millions of deaths.","c_2CpH, The Taiping Rebellion, led by Hong Xiuquan who claimed to be Jesus's brother, was a massive civil war in China against the Qing Dynasty, nearly overthrowing Manchu rule and resulting in millions of deaths."
c_5d5h,Samory Touré was a West African military leader who established a powerful kingdom and led military resistance against French colonial expansion in the late 19th century before being captured in 1898.,"c_5d5h, Samory Touré was a West African military leader who established a powerful kingdom and led military resistance against French colonial expansion in the late 19th century before being captured in 1898."
c_bpW7,"The Industrial Revolution transformed European economies from handicraft manufacturing to machine-based production, creating an unprecedented demand for raw materials from Asia, Africa, and the Americas.","c_bpW7, The Industrial Revolution transformed European economies from handicraft manufacturing to machine-based production, creating an unprecedented demand for raw materials from Asia, Africa, and the Americas."
c_vads,Industrialized imperial powers sought global colonization primarily to secure raw materials for their manufacturing sectors and to find new markets for their surplus manufactured goods.,"c_vads, Industrialized imperial powers sought global colonization primarily to secure raw materials for their manufacturing sectors and to find new markets for their surplus manufactured goods."
c_VaHy,"Imperial powers forced colonies to transition from subsistence farming to cash crop production, focusing on one or two commodities like cotton, rubber, and palm oil for export to European markets.","c_VaHy, Imperial powers forced colonies to transition from subsistence farming to cash crop production, focusing on one or two commodities like cotton, rubber, and palm oil for export to European markets."
c_dsg5,"Indentured labor was a system where workers from India and China signed contracts to work under harsh conditions in exchange for passage, food, and small wages.","c_dsg5, Indentured labor was a system where workers from India and China signed contracts to work under harsh conditions in exchange for passage, food, and small wages."
c_IsLV,The shift to export-oriented economies during colonialism fundamentally altered traditional economic systems in colonized regions and created lasting dependency relationships between colonies and colonial powers.,"c_IsLV, The shift to export-oriented economies during colonialism fundamentally altered traditional economic systems in colonized regions and created lasting dependency relationships between colonies and colonial powers."
c_iP74,"Colonial powers used various forms of forced labor, including indentured laborers from Asia and enslaved indigenous peoples, to extract resources like rubber, palm oil, and ivory.","c_iP74, Colonial powers used various forms of forced labor, including indentured laborers from Asia and enslaved indigenous peoples, to extract resources like rubber, palm oil, and ivory."
c_3xrd,"Infrastructure developments, such as railroads, steamships, and the electric telegraph, reduced transportation costs, facilitated resource extraction, opened new markets, and enabled instant communication between imperial powers and colonies.","c_3xrd, Infrastructure developments, such as railroads, steamships, and the electric telegraph, reduced transportation costs, facilitated resource extraction, opened new markets, and enabled instant communication between imperial powers and colonies."
c_Xe85,The palm oil trade in West Africa became significant as palm oil was essential for lubricating European industrial machinery and making candles.,"c_Xe85, The palm oil trade in West Africa became significant as palm oil was essential for lubricating European industrial machinery and making candles."
c_isdt,"Rubber extraction in the Amazon and the Congo Basin was driven by European industrial demand, often involving forced labor and leading to severe human rights abuses.","c_isdt, Rubber extraction in the Amazon and the Congo Basin was driven by European industrial demand, often involving forced labor and leading to severe human rights abuses."
c_f6ob,"The guano industries in Peru and Chile exported millions of tons of guano to support industrial agriculture as fertilizer, using indentured Chinese and Polynesian labor.","c_f6ob, The guano industries in Peru and Chile exported millions of tons of guano to support industrial agriculture as fertilizer, using indentured Chinese and Polynesian labor."
c_Odzz,"The discovery of diamonds in Africa led companies like De Beers Mining Company, founded by Cecil Rhodes, to achieve near-monopoly control over global diamond production, demonstrating European colonial control over African mineral resources.","c_Odzz, The discovery of diamonds in Africa led companies like De Beers Mining Company, founded by Cecil Rhodes, to achieve near-monopoly control over global diamond production, demonstrating European colonial control over African mineral resources."
c_FLQM,"Meat from Argentina and Uruguay became significant in global trade as European demand for meat increased, facilitated by technological advancements such as refrigeration.","c_FLQM, Meat from Argentina and Uruguay became significant in global trade as European demand for meat increased, facilitated by technological advancements such as refrigeration."
c_R2T8,Egypt became a cotton-dependent export economy during the American Civil War after the Union blockade of Confederate ports made it a major supplier to British textile mills.,"c_R2T8, Egypt became a cotton-dependent export economy during the American Civil War after the Union blockade of Confederate ports made it a major supplier to British textile mills."
c_e8Lg,"Industrialization drove massive urbanization in Europe, increasing populations in urban centers and leading to greater food imports from colonies.","c_e8Lg, Industrialization drove massive urbanization in Europe, increasing populations in urban centers and leading to greater food imports from colonies."
c_Vux9,"Britain cultivated opium in India and illegally exported it to China, causing widespread addiction and addressing British trade deficits.","c_Vux9, Britain cultivated opium in India and illegally exported it to China, causing widespread addiction and addressing British trade deficits."
c_5B3X,"China's attempts to stop the British opium trade led to the First Opium War, which resulted in British victory.","c_5B3X, China's attempts to stop the British opium trade led to the First Opium War, which resulted in British victory."
c_t0Hq,"The Treaty of Nanking was the 1842 agreement that ended the First Opium War, forcing China to open several ports, cede Hong Kong to Britain, pay reparations, and legalize the opium trade.","c_t0Hq, The Treaty of Nanking was the 1842 agreement that ended the First Opium War, forcing China to open several ports, cede Hong Kong to Britain, pay reparations, and legalize the opium trade."
c_snDA,"The Second Opium War further weakened China, forcing it to open all ports to European trade under unequal treaties.","c_snDA, The Second Opium War further weakened China, forcing it to open all ports to European trade under unequal treaties."
c_Y5cw,"Colonial powers transformed local economies into export-oriented systems, extracting raw materials without fair compensation and selling manufactured goods back to the colonies, creating economic dependency.","c_Y5cw, Colonial powers transformed local economies into export-oriented systems, extracting raw materials without fair compensation and selling manufactured goods back to the colonies, creating economic dependency."
c_URe7,"British colonial policies transformed India from a textile manufacturer to a supplier of raw cotton, undermining traditional Indian industries.","c_URe7, British colonial policies transformed India from a textile manufacturer to a supplier of raw cotton, undermining traditional Indian industries."
c_rwWC,"The British East India Company operated as a joint-stock company with exclusive trading rights in India and maintained its own military forces, establishing a model of imperial economic exploitation.","c_rwWC, The British East India Company operated as a joint-stock company with exclusive trading rights in India and maintained its own military forces, establishing a model of imperial economic exploitation."
c_iypl,"Foreign investments in Latin America focused on infrastructure and resource extraction, creating economic dependency and allowing foreign businesses to influence local politics.","c_iypl, Foreign investments in Latin America focused on infrastructure and resource extraction, creating economic dependency and allowing foreign businesses to influence local politics."
c_tUQN,"The United Fruit Company was a U.S. transnational corporation that dominated banana production in Latin America, influencing local politics and economies, and contributing to political instability, which led to the term 'banana republics.'","c_tUQN, The United Fruit Company was a U.S. transnational corporation that dominated banana production in Latin America, influencing local politics and economies, and contributing to political instability, which led to the term 'banana republics.'"
c_qSlb,"Technological advances from the Industrial Revolution, such as steamships and advanced weaponry, enabled imperial powers to extend control over distant territories.","c_qSlb, Technological advances from the Industrial Revolution, such as steamships and advanced weaponry, enabled imperial powers to extend control over distant territories."
c_HEgH,"British investments in Argentina developed infrastructure like railroads and ports, integrating its economy with Britain and making Argentina Latin America's wealthiest nation by 1914.","c_HEgH, British investments in Argentina developed infrastructure like railroads and ports, integrating its economy with Britain and making Argentina Latin America's wealthiest nation by 1914."
c_Z9K3,"Japan, France, Germany, Russia, and the United States forced China to grant exclusive trading rights in designated regions called spheres of influence, weakening Chinese sovereignty.","c_Z9K3, Japan, France, Germany, Russia, and the United States forced China to grant exclusive trading rights in designated regions called spheres of influence, weakening Chinese sovereignty."
c_1B7Q,"The Dutch colonial government's Culture System in Indonesia forced farmers to either dedicate one-fifth of their rice fields to export crops or perform corvée labor, working 66 days unpaid in government fields.","c_1B7Q, The Dutch colonial government's Culture System in Indonesia forced farmers to either dedicate one-fifth of their rice fields to export crops or perform corvée labor, working 66 days unpaid in government fields."
c_6w79,"The United States proposed the Open Door Policy, advocating equal trading rights in China and supporting Chinese sovereignty.","c_6w79, The United States proposed the Open Door Policy, advocating equal trading rights in China and supporting Chinese sovereignty."
c_K9yO,Industrialization drove urbanization and created new patterns of both internal and international migration.,"c_K9yO, Industrialization drove urbanization and created new patterns of both internal and international migration."
c_A0nf,"Global economic changes in the 19th century led to increased migration patterns, including both voluntary and forced movements of people across continents.","c_A0nf, Global economic changes in the 19th century led to increased migration patterns, including both voluntary and forced movements of people across continents."
c_TMGb,"A diaspora is a mass emigration from a region over an extended period, often driven by factors like poverty, political conditions, or famine.","c_TMGb, A diaspora is a mass emigration from a region over an extended period, often driven by factors like poverty, political conditions, or famine."
c_wT7r,"Following the gradual abolition of slavery, imperial and colonial powers sought alternative labor sources such as indentured servitude, Asian contract labor, and convict labor.","c_wT7r, Following the gradual abolition of slavery, imperial and colonial powers sought alternative labor sources such as indentured servitude, Asian contract labor, and convict labor."
c_eFkW,Late 19th-century improvements in transportation technology enabled temporary migration and allowed workers to return to their home societies periodically or permanently.,"c_eFkW, Late 19th-century improvements in transportation technology enabled temporary migration and allowed workers to return to their home societies periodically or permanently."
c_XM3q,"By 1878, Indian indentured laborers were working on plantations in British Guiana, Dutch Guiana, Natal, Fiji, and Caribbean colonies.","c_XM3q, By 1878, Indian indentured laborers were working on plantations in British Guiana, Dutch Guiana, Natal, Fiji, and Caribbean colonies."
c_vyhG,The Great Famine was a devastating potato blight in Ireland that caused mass starvation.,"c_vyhG, The Great Famine was a devastating potato blight in Ireland that caused mass starvation."
c_ho7D,The Great Famine caused over a million Irish people to emigrate to various destinations.,"c_ho7D, The Great Famine caused over a million Irish people to emigrate to various destinations."
c_m5jz,"Chinese laborers migrated to California and British Malaya during the 19th century, working in railroad construction and various service roles.","c_m5jz, Chinese laborers migrated to California and British Malaya during the 19th century, working in railroad construction and various service roles."
c_TCpa,Japan's overseas expansion included both colonization attempts and organized labor emigration programs.,"c_TCpa, Japan's overseas expansion included both colonization attempts and organized labor emigration programs."
c_FZXr,"During the 1800s, millions of Europeans migrated to Latin America, particularly Argentina and Brazil, driven by economic opportunities and political instability in Europe.","c_FZXr, During the 1800s, millions of Europeans migrated to Latin America, particularly Argentina and Brazil, driven by economic opportunities and political instability in Europe."
c_hXFt,"Brazil maintained slavery until 1888, making it the last major Western nation to abolish the practice through the Golden Law signed by Princess Isabel.","c_hXFt, Brazil maintained slavery until 1888, making it the last major Western nation to abolish the practice through the Golden Law signed by Princess Isabel."
c_CcnD,"Different types of migration emerged during this period, including voluntary permanent settlement, temporary labor migration, and forced or semi-forced labor movements.","c_CcnD, Different types of migration emerged during this period, including voluntary permanent settlement, temporary labor migration, and forced or semi-forced labor movements."
c_Dpbc,"British convicts transported to Australia came from Britain, Ireland, and colonies like India, performing various forms of labor rather than serving in prisons.","c_Dpbc, British convicts transported to Australia came from Britain, Ireland, and colonies like India, performing various forms of labor rather than serving in prisons."
c_ifYJ,"Lebanese merchants in the United States and Italian laborers in Argentina represented voluntary migration patterns, often with the option to return home.","c_ifYJ, Lebanese merchants in the United States and Italian laborers in Argentina represented voluntary migration patterns, often with the option to return home."
c_EKYe,"Japanese laborers were specifically recruited for sugar plantation work in Hawaii, Peru, and Cuba.","c_EKYe, Japanese laborers were specifically recruited for sugar plantation work in Hawaii, Peru, and Cuba."
c_NuNE,"The Chinese Exclusion Act was an 1882 U.S. law that banned Chinese immigration, marking the first major federal restriction on immigration based on race.","c_NuNE, The Chinese Exclusion Act was an 1882 U.S. law that banned Chinese immigration, marking the first major federal restriction on immigration based on race."
c_NBY2,"The White Australia Policy, implemented in 1901 after the federation of six British colonies, restricted non-British immigration to Australia and remained in effect until the mid-1970s.","c_NBY2, The White Australia Policy, implemented in 1901 after the federation of six British colonies, restricted non-British immigration to Australia and remained in effect until the mid-1970s."
c_ziJw,"Chinese immigrants were crucial in constructing the first transcontinental railroad in the United States, demonstrating their significant role in American industrialization.","c_ziJw, Chinese immigrants were crucial in constructing the first transcontinental railroad in the United States, demonstrating their significant role in American industrialization."
c_ssL7,"The Great Famine drove approximately 3 million Irish to emigrate, with many settling in North America despite facing nativist and anti-Catholic prejudice.","c_ssL7, The Great Famine drove approximately 3 million Irish to emigrate, with many settling in North America despite facing nativist and anti-Catholic prejudice."
c_80d9,"Migrant ethnic enclaves were communities of immigrants in foreign cities that preserved their native culture while adapting to new societies, such as Chinatowns.","c_80d9, Migrant ethnic enclaves were communities of immigrants in foreign cities that preserved their native culture while adapting to new societies, such as Chinatowns."
c_R8AN,"Chinese immigrants in Southeast Asia gained significant economic influence under colonial rule, with merchants dominating trade networks through family businesses and international commerce.","c_R8AN, Chinese immigrants in Southeast Asia gained significant economic influence under colonial rule, with merchants dominating trade networks through family businesses and international commerce."
c_3dW3,"Between 1870 and 1914, the world experienced the largest voluntary migration in history, with millions moving across continents for labor, military service, and colonial administration.","c_3dW3, Between 1870 and 1914, the world experienced the largest voluntary migration in history, with millions moving across continents for labor, military service, and colonial administration."
c_Dk8I,"Indian laborers migrated as indentured servants to British colonies in Africa, the Caribbean, and Southeast Asia, primarily working on plantations and railways, leading to significant demographic changes.","c_Dk8I, Indian laborers migrated as indentured servants to British colonies in Africa, the Caribbean, and Southeast Asia, primarily working on plantations and railways, leading to significant demographic changes."
c_dlJh,"Policies encouraging European immigration, like Argentina's 1853 Constitution guaranteeing foreigners equal civil rights, led to Italians constituting over 55 percent of the Argentine population.","c_dlJh, Policies encouraging European immigration, like Argentina's 1853 Constitution guaranteeing foreigners equal civil rights, led to Italians constituting over 55 percent of the Argentine population."
c_Viqy,"Male-dominated migration led to women in home societies taking on roles traditionally occupied by men, altering gender roles and societal structures.","c_Viqy, Male-dominated migration led to women in home societies taking on roles traditionally occupied by men, altering gender roles and societal structures."
c_ISol,"Migration led to two-way cultural exchange, with immigrants maintaining home traditions while influencing their new societies, such as Indians in the Caribbean preserving Hinduism and contributing to local music.","c_ISol, Migration led to two-way cultural exchange, with immigrants maintaining home traditions while influencing their new societies, such as Indians in the Caribbean preserving Hinduism and contributing to local music."
c_wUPs,"Violent anti-Chinese sentiment in the United States during the 1870s and 1880s manifested in riots and brutal attacks, reflecting severe racial prejudice.","c_wUPs, Violent anti-Chinese sentiment in the United States during the 1870s and 1880s manifested in riots and brutal attacks, reflecting severe racial prejudice."
KC-5.2.III,"A range of cultural, religious, and racial ideologies were used to justify imperialism, including Social Darwinism, nationalism, the concept of the civilizing mission, and the desire to religiously convert indigenous populations.","KC-5.2.III, A range of cultural, religious, and racial ideologies were used to justify imperialism, including Social Darwinism, nationalism, the concept of the civilizing mission, and the desire to religiously convert indigenous populations."
KC-5.2.I.A,Some states with existing colonies strengthened their control over those colonies and in some cases assumed direct control over colonies previously held by non-state entities.,"KC-5.2.I.A, Some states with existing colonies strengthened their control over those colonies and in some cases assumed direct control over colonies previously held by non-state entities."
KC-5.2.I.B,"European states as well as the United States and Japan acquired territories throughout Asia and the Pacific, while Spanish and Portuguese influence declined.","KC-5.2.I.B, European states as well as the United States and Japan acquired territories throughout Asia and the Pacific, while Spanish and Portuguese influence declined."
KC-5.2.I.C,Many European states used both warfare and diplomacy to expand their empires in Africa.,"KC-5.2.I.C, Many European states used both warfare and diplomacy to expand their empires in Africa."
KC-5.2.I.D,Europeans established settler colonies in some parts of their empires.,"KC-5.2.I.D, Europeans established settler colonies in some parts of their empires."
KC-5.2.II.B,"The United States, Russia, and Japan expanded their land holdings by conquering and settling neighboring territories.","KC-5.2.II.B, The United States, Russia, and Japan expanded their land holdings by conquering and settling neighboring territories."
KC-5.3.III.D,Increasing questions about political authority and growing nationalism contributed to anticolonial movements.,"KC-5.3.III.D, Increasing questions about political authority and growing nationalism contributed to anticolonial movements."
KC-5.2.II.C,"Anti-imperial resistance took various forms, including direct resistance within empires and the creation of new states on the peripheries.","KC-5.2.II.C, Anti-imperial resistance took various forms, including direct resistance within empires and the creation of new states on the peripheries."
KC-5.3.III.E,"Increasing discontent with imperial rule led to rebellions, some of which were influenced by religious ideas.","KC-5.3.III.E, Increasing discontent with imperial rule led to rebellions, some of which were influenced by religious ideas."
KC-5.1.II.A,The need for raw materials for factories and increased food supplies for the growing population in urban centers led to the growth of export economies around the world that specialized in commercial extraction of natural resources and the production of food and industrial crops. The profits from these raw materials were used to purchase finished goods.,"KC-5.1.II.A, The need for raw materials for factories and increased food supplies for the growing population in urban centers led to the growth of export economies around the world that specialized in commercial extraction of natural resources and the production of food and industrial crops. The profits from these raw materials were used to purchase finished goods."
KC-5.2.I.E,Industrialized states and businesses within those states practiced economic imperialism primarily in Asia and Latin America.,"KC-5.2.I.E, Industrialized states and businesses within those states practiced economic imperialism primarily in Asia and Latin America."
c_9i7H,"Economic imperialism was a form of domination where powerful nations controlled weaker ones through trade, investment, and resource exploitation rather than direct colonization.","c_9i7H, Economic imperialism was a form of domination where powerful nations controlled weaker ones through trade, investment, and resource exploitation rather than direct colonization."
KC-5.1.II.C,Trade in some commodities was organized in a way that gave merchants and companies based in Europe and the U.S. a distinct economic advantage.,"KC-5.1.II.C, Trade in some commodities was organized in a way that gave merchants and companies based in Europe and the U.S. a distinct economic advantage."
KC-5.4.I,Migration in many cases was influenced by changes in demographics in both industrialized and unindustrialized societies that presented challenges to existing patterns of living.,"KC-5.4.I, Migration in many cases was influenced by changes in demographics in both industrialized and unindustrialized societies that presented challenges to existing patterns of living."
